大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0020,國立東華大學,D 日,B 學士,"7,531","3,616","3,915",824,963,863,929,827,950,842,906,-,-,-,-,-,-,260,167,15 花蓮縣,1 一般
0020,國立東華大學,N 職,M 碩士,521,226,295,79,117,60,73,41,54,24,15,10,20,12,16,-,-,-,-,15 花蓮縣,1 一般
0021,國立暨南國際大學,D 日,D 博士,324,163,161,23,34,32,28,33,28,20,20,16,25,21,12,18,14,-,-,08 南投縣,1 一般
0021,國立暨南國際大學,D 日,M 碩士,848,422,426,136,154,142,123,77,76,56,62,9,5,2,6,-,-,-,-,08 南投縣,1 一般
0021,國立暨南國際大學,D 日,B 學士,"4,599","2,102","2,497",446,600,519,600,494,620,533,585,-,-,-,-,-,-,110,92,08 南投縣,1 一般
0021,國立暨南國際大學,N 職,M 碩士,429,191,238,68,75,70,71,33,49,11,21,5,13,4,9,-,-,-,-,08 南投縣,1 一般
0022,國立臺灣科技大學,D 日,D 博士,"1,003",793,210,186,53,194,46,144,50,88,18,61,19,67,17,53,7,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,M 碩士,"3,500","2,409","1,091","1,133",510,998,456,223,101,55,24,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,B 四技,"5,641","3,974","1,667",968,392,959,393,967,388,885,427,-,-,-,-,-,-,195,67,30 臺北市,2 技職
0022,國立臺灣科技大學,D 日,C 二技,187,76,111,-,-,-,-,44,55,31,48,-,-,-,-,-,-,1,8,30 臺北市,2 技職
0022,國立臺灣科技大學,N 職,D 博士,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,N 職,M 碩士,798,533,265,207,121,205,105,67,26,50,11,2,1,2,1,-,-,-,-,30 臺北市,2 技職
0022,國立臺灣科技大學,N 修,C 二技,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,30 臺北市,2 技職
0023,國立雲林科技大學,D 日,D 博士,419,262,157,51,32,45,27,38,22,42,22,41,21,19,17,26,16,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,M 碩士,"1,934","1,219",715,497,293,512,259,153,114,57,49,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,B 四技,"6,360","3,779","2,581",892,621,891,630,924,623,916,626,-,-,-,-,-,-,156,81,09 雲林縣,2 技職
0023,國立雲林科技大學,D 日,C 二技,219,93,126,-,-,-,-,43,62,39,48,-,-,-,-,-,-,11,16,09 雲林縣,2 技職
0023,國立雲林科技大學,N 職,M 碩士,714,402,312,164,136,137,107,60,46,21,13,20,10,-,-,-,-,-,-,09 雲林縣,2 技職
0023,國立雲林科技大學,N 修,B 四技,86,36,50,17,27,19,23,-,-,-,-,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0024,國立屏東科技大學,D 日,D 博士,248,165,83,36,18,24,13,26,13,21,10,20,10,11,8,27,11,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,M 碩士,"1,160",668,492,306,249,246,155,82,64,29,19,2,1,3,4,-,-,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,B 四技,"7,832","4,134","3,698","1,007",845,966,860,934,866,928,925,49,56,-,-,-,-,250,146,13 屏東縣,2 技職
0024,國立屏東科技大學,D 日,C 二技,7,2,5,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,1,13 屏東縣,2 技職
0024,國立屏東科技大學,N 職,M 碩士,404,284,120,86,46,128,50,29,11,19,6,12,4,10,3,-,-,-,-,13 屏東縣,2 技職
0024,國立屏東科技大學,N 修,B 四技,"1,471",799,672,205,137,175,170,177,146,169,180,-,-,-,-,-,-,73,39,13 屏東縣,2 技職
0025,國立臺北科技大學,D 日,D 博士,689,537,152,94,19,89,26,85,21,80,22,60,17,56,21,73,26,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,M 碩士,"2,842","2,130",712,947,314,934,317,198,59,51,22,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,B 四技,"5,928","4,146","1,782","1,049",460,"1,044",469,"1,029",444,983,400,-,-,-,-,-,-,41,9,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,C 二技,122,54,68,-,-,-,-,33,44,21,24,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,D 日,5 五專,32,26,6,26,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,N 職,M 碩士,"1,538","1,105",433,407,169,377,152,164,71,97,26,33,11,27,4,-,-,-,-,30 臺北市,2 技職
0025,國立臺北科技大學,N 修,B 四技,"1,778","1,504",274,383,65,431,87,377,74,278,43,-,-,-,-,-,-,35,5,30 臺北市,2 技職
0025,國立臺北科技大學,N 修,C 二技,168,120,48,-,-,-,-,38,10,39,17,14,7,-,-,-,-,29,14,30 臺北市,2 技職
0028,國立臺北藝術大學,D 日,D 博士,94,30,64,8,13,10,9,3,12,1,12,4,5,3,6,1,7,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,M 碩士,971,347,624,97,178,99,164,74,159,77,123,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,B 學士,"1,713",596,"1,117",128,244,149,238,121,270,134,244,-,-,-,-,-,-,64,121,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,X 4+X,53,34,19,21,9,12,10,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,1 一般
0028,國立臺北藝術大學,D 日,5 五專,72,26,46,7,16,7,15,12,15,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0028,國立臺北藝術大學,N 職,M 碩士,169,52,117,12,35,13,37,14,25,7,14,6,6,-,-,-,-,-,-,30 臺北市,1 一般
0029,國立臺灣藝術大學,D 日,D 博士,126,64,62,19,15,15,16,12,10,8,8,6,5,2,6,2,2,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,D 日,M 碩士,725,286,439,78,159,74,114,80,111,54,55,-,-,-,-,-,-,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,D 日,B 學士,"2,459",707,"1,752",155,376,140,403,154,394,144,389,-,-,-,-,-,-,114,190,01 新北市,1 一般
0029,國立臺灣藝術大學,N 職,M 碩士,422,167,255,39,62,40,71,46,49,24,39,12,22,6,12,-,-,-,-,01 新北市,1 一般
0029,國立臺灣藝術大學,N 修,C 二技,369,92,277,-,-,-,-,35,122,36,106,-,-,-,-,-,-,21,49,01 新北市,2 技職
0029,國立臺灣藝術大學,P 進,B 學士,"1,613",513,"1,100",120,260,119,249,112,236,100,255,-,-,-,-,-,-,62,100,01 新北市,1 一般
0030,國立臺東大學,D 日,D 博士,44,17,27,5,4,2,4,1,6,5,3,1,3,1,2,2,5,-,-,14 臺東縣,1 一般
0030,國立臺東大學,D 日,M 碩士,337,129,208,41,70,41,60,30,37,14,27,3,13,-,1,-,-,-,-,14 臺東縣,1 一般
0030,國立臺東大學,D 日,B 學士,"3,473","1,705","1,768",425,456,422,412,377,422,401,430,-,-,-,-,-,-,80,48,14 臺東縣,1 一般
0030,國立臺東大學,N 職,M 碩士,536,152,384,51,157,56,132,17,45,18,25,5,12,2,10,3,3,-,-,14 臺東縣,1 一般
0030,國立臺東大學,N 修,C 二技,19,10,9,-,-,-,-,10,9,-,-,-,-,-,-,-,-,-,-,14 臺東縣,2 技職
0030,國立臺東大學,P 進,B 學士,174,76,98,24,28,19,31,18,20,11,17,-,-,-,-,-,-,4,2,14 臺東縣,1 一般
0031,國立宜蘭大學,D 日,D 博士,11,8,3,1,2,1,-,3,-,-,-,1,1,-,-,2,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,D 日,M 碩士,456,298,158,115,71,114,57,50,25,18,5,1,-,-,-,-,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,D 日,B 學士,"4,409","2,865","1,544",649,399,731,373,712,374,663,373,-,-,-,-,-,-,110,25,02 宜蘭縣,1 一般
0031,國立宜蘭大學,N 職,M 碩士,222,163,59,59,26,40,17,24,9,18,2,13,5,9,-,-,-,-,-,02 宜蘭縣,1 一般
0031,國立宜蘭大學,P 進,B 學士,372,252,120,75,33,65,23,50,35,46,25,-,-,-,-,-,-,16,4,02 宜蘭縣,1 一般
0032,國立聯合大學,D 日,D 博士,15,15,-,3,-,3,-,3,-,3,-,2,-,-,-,1,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,D 日,M 碩士,456,332,124,144,53,111,47,53,17,23,5,-,2,1,-,-,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,D 日,B 學士,"5,901","4,022","1,879",963,460,983,459,931,455,956,452,23,18,-,-,-,-,166,35,05 苗栗縣,1 一般
