大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1053,元培醫事科技大學,N 修,C 二技,526,127,399,-,-,-,-,63,128,59,260,-,5,-,-,-,-,5,6,18 新竹市,2 技職
1054,景文科技大學,D 日,M 碩士,53,38,15,19,8,14,6,1,1,4,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,D 日,B 四技,"5,178","2,350","2,828",578,725,575,641,451,549,521,683,-,-,-,-,-,-,225,230,01 新北市,2 技職
1054,景文科技大學,D 日,C 二技,3,1,2,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,67,47,20,15,5,23,13,5,1,4,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,"1,482",752,730,244,210,142,157,190,166,139,168,-,-,-,-,-,-,37,29,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,278,92,186,-,-,-,-,51,95,35,85,-,-,-,-,-,-,6,6,01 新北市,2 技職
1055,中華醫事科技大學,D 日,M 碩士,95,46,49,21,27,19,19,4,3,2,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,"3,964","1,712","2,252",416,587,383,538,366,475,444,584,-,-,-,-,-,-,103,68,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,679,176,503,-,-,-,-,94,252,81,246,-,-,-,-,-,-,1,5,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,2 二專,85,56,29,35,13,21,16,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,"2,877",612,"2,265",117,486,156,540,139,495,121,419,62,303,-,-,-,-,17,22,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,20,13,7,7,5,4,2,2,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,759,320,439,90,137,68,77,59,98,71,75,14,30,-,-,-,-,18,22,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,683,180,503,-,-,-,-,88,251,71,183,18,54,-,-,-,-,3,15,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,133,98,35,38,21,45,11,9,1,6,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,"5,209","3,459","1,750",955,496,701,357,696,383,873,448,-,-,-,-,-,-,234,66,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,55,47,8,21,4,24,2,2,1,-,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,537,434,103,171,52,90,15,59,11,82,20,-,-,-,-,-,-,32,5,01 新北市,2 技職
1056,東南科技大學,N 修,C 二技,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,57,31,26,12,12,10,9,5,4,4,1,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,"7,079","2,846","4,233",741,"1,074",625,874,656,"1,000",633,"1,062",-,-,-,-,-,-,191,223,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,154,32,122,-,-,-,-,22,49,9,71,-,-,-,-,-,-,1,2,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,55,32,23,12,6,11,10,5,6,4,1,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,788,396,392,65,51,76,52,114,111,104,150,-,-,-,-,-,-,37,28,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,53,16,37,-,-,-,-,5,14,9,23,-,-,-,-,-,-,2,-,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,26,14,12,4,3,2,4,2,2,3,3,3,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,182,98,84,48,38,22,28,18,12,10,6,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,"2,819","1,608","1,211",385,272,275,224,385,292,478,403,-,-,-,-,-,-,85,20,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,80,28,52,19,32,7,19,2,-,-,1,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,806,514,292,125,78,135,68,98,64,138,73,-,-,-,-,-,-,18,9,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,105,66,39,26,16,25,19,11,2,4,2,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,"2,924","1,949",975,407,242,375,205,487,218,565,276,-,-,-,-,-,-,115,34,08 南投縣,2 技職
1060,南開科技大學,D 日,C 二技,29,20,9,-,-,-,-,-,-,20,9,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,813,662,151,93,21,126,23,157,36,179,37,100,29,-,-,-,-,7,5,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,99,33,66,12,29,14,23,4,7,3,7,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,756,483,273,125,61,95,51,99,68,131,78,-,-,-,-,-,-,33,15,08 南投縣,2 技職
1061,中華科技大學,D 日,M 碩士,200,144,56,61,28,68,22,9,4,6,2,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1061,中華科技大學,D 日,B 四技,"4,344","2,908","1,436",601,291,577,269,664,337,816,451,-,-,-,-,-,-,250,88,30 臺北市,2 技職
1061,中華科技大學,D 日,C 二技,27,7,20,-,-,-,-,2,6,5,13,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1061,中華科技大學,N 職,M 碩士,97,75,22,37,14,35,7,2,1,1,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1061,中華科技大學,N 修,B 四技,824,671,153,204,53,125,26,169,27,132,34,-,-,-,-,-,-,41,13,30 臺北市,2 技職
1061,中華科技大學,N 修,C 二技,318,169,149,-,-,-,-,90,92,77,56,-,-,-,-,-,-,2,1,30 臺北市,2 技職
1062,僑光科技大學,D 日,M 碩士,50,26,24,15,15,8,7,1,2,2,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,D 日,B 四技,"6,530","2,633","3,897",646,968,702,935,634,962,588,993,-,-,-,-,-,-,63,39,19 臺中市,2 技職
1062,僑光科技大學,D 日,C 二技,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,N 職,M 碩士,35,22,13,8,8,12,5,1,-,1,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,N 修,B 四技,"4,333","2,354","1,979",648,556,601,462,582,474,444,429,-,-,-,-,-,-,79,58,19 臺中市,2 技職
1062,僑光科技大學,N 修,C 二技,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,19 臺中市,2 技職
1062,僑光科技大學,N 修,X 4+X,15,9,6,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,N 修,2 二專,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,19 臺中市,2 技職
1063,育達科技大學,D 日,M 碩士,183,91,92,46,42,25,37,11,9,9,4,-,-,-,-,-,-,-,-,05 苗栗縣,2 技職
1063,育達科技大學,D 日,B 四技,"2,445","1,164","1,281",267,345,217,230,251,255,321,377,-,-,-,-,-,-,108,74,05 苗栗縣,2 技職
1063,育達科技大學,D 日,C 二技,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,05 苗栗縣,2 技職
1063,育達科技大學,N 職,M 碩士,205,115,90,70,60,29,28,10,2,6,-,-,-,-,-,-,-,-,-,05 苗栗縣,2 技職
1063,育達科技大學,N 修,B 四技,"1,174",692,482,186,151,166,108,142,110,160,95,-,-,-,-,-,-,38,18,05 苗栗縣,2 技職
1063,育達科技大學,N 修,C 二技,817,253,564,-,-,-,-,130,309,116,248,-,-,-,-,-,-,7,7,05 苗栗縣,2 技職
1063,育達科技大學,N 修,2 二專,15,-,15,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,05 苗栗縣,2 技職
1064,美和科技大學,D 日,M 碩士,140,52,88,28,38,15,33,8,14,1,3,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1064,美和科技大學,D 日,B 四技,"3,009","1,290","1,719",273,394,314,438,307,410,343,439,-,-,-,-,-,-,53,38,13 屏東縣,2 技職
1064,美和科技大學,D 日,C 二技,383,47,336,-,-,-,-,25,168,22,168,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1064,美和科技大學,D 日,5 五專,"1,992",264,"1,728",44,306,47,335,79,365,51,378,37,317,-,-,-,-,6,27,13 屏東縣,2 技職
1064,美和科技大學,N 職,M 碩士,226,78,148,35,55,26,70,14,17,3,6,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1064,美和科技大學,N 修,B 四技,825,317,508,110,167,52,129,63,125,69,73,-,-,-,-,-,-,23,14,13 屏東縣,2 技職
1064,美和科技大學,N 修,C 二技,795,92,703,-,-,-,-,51,334,36,346,-,-,-,-,-,-,5,23,13 屏東縣,2 技職
1064,美和科技大學,N 修,2 二專,33,10,23,6,12,2,11,-,-,-,-,-,-,-,-,-,-,2,-,13 屏東縣,2 技職
1065,吳鳳科技大學,D 日,M 碩士,64,37,27,15,14,16,11,3,-,3,2,-,-,-,-,-,-,-,-,10 嘉義縣,2 技職
1065,吳鳳科技大學,D 日,B 四技,"3,388","2,333","1,055",630,264,493,213,523,265,611,293,-,-,-,-,-,-,76,20,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 職,M 碩士,67,29,38,20,22,6,14,2,-,-,1,1,-,-,1,-,-,-,-,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,B 四技,841,612,229,168,66,128,55,119,38,176,64,-,-,-,-,-,-,21,6,10 嘉義縣,2 技職
1066,環球科技大學,D 日,M 碩士,149,61,88,25,46,25,30,7,8,3,3,1,1,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,D 日,B 四技,"3,010","1,449","1,561",308,347,335,328,305,383,418,452,-,-,-,-,-,-,83,51,09 雲林縣,2 技職
1066,環球科技大學,N 職,M 碩士,50,29,21,15,14,13,4,1,2,-,1,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,N 修,B 四技,977,471,506,141,157,74,81,107,102,133,151,-,-,-,-,-,-,16,15,09 雲林縣,2 技職
1066,環球科技大學,N 修,C 二技,384,132,252,-,-,-,-,97,150,34,102,-,-,-,-,-,-,1,-,09 雲林縣,2 技職
1066,環球科技大學,N 修,2 二專,206,104,102,46,56,51,46,-,-,-,-,-,-,-,-,-,-,7,-,09 雲林縣,2 技職
1067,台灣首府大學,D 日,M 碩士,67,25,42,12,24,11,16,-,2,2,-,-,-,-,-,-,-,-,-,11 臺南市,1 一般
1067,台灣首府大學,D 日,B 學士,"1,758",877,881,220,208,154,158,156,180,266,289,-,-,-,-,-,-,81,46,11 臺南市,1 一般
1067,台灣首府大學,P 進,B 學士,369,231,138,48,26,52,21,41,44,71,36,-,-,-,-,-,-,19,11,11 臺南市,1 一般
1068,中州科技大學,D 日,M 碩士,32,23,9,8,2,6,-,5,6,1,-,1,1,2,-,-,-,-,-,07 彰化縣,2 技職
1068,中州科技大學,D 日,B 四技,"1,485",851,634,115,103,145,107,192,164,360,238,-,-,-,-,-,-,39,22,07 彰化縣,2 技職
1068,中州科技大學,N 職,M 碩士,42,30,12,27,8,1,4,1,-,-,-,-,-,1,-,-,-,-,-,07 彰化縣,2 技職
1068,中州科技大學,N 修,B 四技,932,615,317,173,75,154,69,127,69,137,98,-,-,-,-,-,-,24,6,07 彰化縣,2 技職
1068,中州科技大學,N 修,C 二技,783,198,585,-,-,-,-,172,348,26,235,-,-,-,-,-,-,-,2,07 彰化縣,2 技職
1069,修平科技大學,D 日,M 碩士,57,41,16,25,7,13,7,3,2,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1069,修平科技大學,D 日,B 四技,"3,746","2,480","1,266",660,270,420,188,555,312,698,431,-,-,-,-,-,-,147,65,06 臺中市,2 技職
1069,修平科技大學,N 職,M 碩士,9,8,1,4,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1069,修平科技大學,N 修,B 四技,"1,065",932,133,396,42,195,30,148,35,130,24,-,-,-,-,-,-,63,2,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,59,2,57,2,27,-,23,-,6,-,1,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,"3,450",460,"2,990",121,788,114,777,128,765,93,648,-,-,-,-,-,-,4,12,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,"1,434",66,"1,368",-,-,-,-,34,672,31,685,-,-,-,-,-,-,1,11,03 桃園市,2 技職
1070,長庚科技大學,D 日,5 五專,335,25,310,-,-,-,-,-,-,7,107,17,193,-,-,-,-,1,10,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,106,3,103,1,44,1,26,-,26,-,5,1,1,-,1,-,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,"1,251",84,"1,167",-,-,-,-,43,520,37,581,3,61,-,-,-,-,1,5,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,83,69,14,29,7,27,2,9,4,4,1,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,"7,159","4,422","2,737","1,092",719,"1,010",611,"1,024",600,"1,002",663,-,-,-,-,-,-,294,144,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,C 二技,3,1,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,"1,249",878,371,120,69,155,65,239,85,211,87,126,63,-,-,-,-,27,2,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,852,622,230,232,109,123,33,119,51,113,27,-,-,-,-,-,-,35,10,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,12,7,5,-,-,4,5,-,-,-,-,-,-,-,-,-,-,3,-,30 臺北市,2 技職
1072,大華科技大學,D 日,M 碩士,9,9,-,-,-,1,-,1,-,7,-,-,-,-,-,-,-,-,-,04 新竹縣,2 技職
1072,大華科技大學,D 日,B 四技,588,366,222,12,6,43,33,83,57,148,93,-,-,-,-,-,-,80,33,04 新竹縣,2 技職
1072,大華科技大學,D 日,C 二技,41,24,17,-,-,-,-,7,-,15,13,-,-,-,-,-,-,2,4,04 新竹縣,2 技職
1072,大華科技大學,D 日,5 五專,518,307,211,21,19,69,39,58,51,85,48,60,47,-,-,-,-,14,7,04 新竹縣,2 技職
1072,大華科技大學,N 修,B 四技,360,248,112,32,21,87,24,68,31,44,32,-,-,-,-,-,-,17,4,04 新竹縣,2 技職
1072,大華科技大學,N 修,C 二技,437,295,142,-,-,-,-,72,53,211,89,-,-,-,-,-,-,12,-,04 新竹縣,2 技職
1072,大華科技大學,N 修,2 二專,66,48,18,45,18,-,-,-,-,-,-,-,-,-,-,-,-,3,-,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,65,39,26,15,17,14,9,10,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,"5,795","2,425","3,370",655,824,662,852,480,761,538,851,-,-,-,-,-,-,90,82,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,806,303,503,31,55,65,96,81,114,80,151,44,86,-,-,-,-,2,1,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,106,66,40,39,26,9,9,9,-,4,1,1,4,4,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,"1,325",569,756,257,365,85,145,112,142,97,95,-,-,-,-,-,-,18,9,01 新北市,2 技職
1074,南榮科技大學,D 日,M 碩士,27,18,9,10,5,4,2,3,1,1,1,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,D 日,B 四技,698,432,266,70,14,54,33,91,60,179,142,-,-,-,-,-,-,38,17,11 臺南市,2 技職
1074,南榮科技大學,D 日,C 二技,8,8,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,D 日,5 五專,108,79,29,6,1,10,-,21,9,21,9,16,7,-,-,-,-,5,3,11 臺南市,2 技職
1074,南榮科技大學,N 職,M 碩士,28,12,16,4,9,5,7,3,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,N 修,B 四技,680,476,204,165,60,45,20,131,66,107,48,-,-,-,-,-,-,28,10,11 臺南市,2 技職
1074,南榮科技大學,N 修,C 二技,40,27,13,-,-,-,-,-,-,27,13,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,N 修,2 二專,61,39,22,-,-,36,22,-,-,-,-,-,-,-,-,-,-,3,-,11 臺南市,2 技職
1075,文藻外語大學,D 日,M 碩士,174,43,131,13,51,14,25,12,29,4,26,-,-,-,-,-,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,"5,289","1,297","3,992",374,895,282,965,303,896,269,965,-,-,-,-,-,-,69,271,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,264,39,225,-,-,-,-,16,98,16,101,-,-,-,-,-,-,7,26,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,"1,625",280,"1,345",58,255,52,261,49,249,63,277,51,274,-,-,-,-,7,29,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,53,15,38,4,11,3,12,3,8,1,5,3,2,1,-,-,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,"1,839",598,"1,241",219,348,136,260,106,263,89,236,-,-,-,-,-,-,48,134,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,193,52,141,-,-,-,-,25,67,23,59,-,-,-,-,-,-,4,15,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,41,35,6,12,6,12,-,9,-,2,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,"2,188","1,383",805,288,206,269,150,313,193,445,216,-,-,-,-,-,-,68,40,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,83,66,17,-,-,-,-,31,8,34,9,-,-,-,-,-,-,1,-,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,603,525,78,109,23,100,14,154,14,95,16,63,11,-,-,-,-,4,-,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,66,48,18,25,11,14,6,4,1,4,-,1,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,741,451,290,71,73,110,64,97,69,132,70,-,-,-,-,-,-,41,14,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,410,209,201,-,-,-,-,108,102,94,99,-,-,-,-,-,-,7,-,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,234,102,132,25,56,70,73,-,-,-,-,-,-,-,-,-,-,7,3,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,39,16,23,7,9,5,12,4,1,-,1,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,"1,271",544,727,118,208,120,199,126,167,128,127,-,-,-,-,-,-,52,26,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,280,22,258,-,-,-,-,11,131,11,127,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,"1,293",166,"1,127",38,221,38,219,32,224,24,218,27,210,-,-,-,-,7,35,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,96,9,87,-,-,-,-,3,53,3,27,-,-,-,-,-,-,3,7,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,47,10,37,3,14,4,12,3,8,-,3,-,-,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,"6,313","1,990","4,323",447,"1,075",480,"1,039",457,"1,015",474,"1,036",-,-,-,-,-,-,132,158,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,271,43,228,-,-,-,-,13,101,27,120,-,-,-,-,-,-,3,7,01 新北市,2 技職
1078,致理科技大學,D 日,2 二專,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,"1,614",325,"1,289",81,253,53,265,67,257,56,253,61,241,-,-,-,-,7,20,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,50,15,35,9,7,4,11,1,9,1,3,-,5,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,"3,187","1,222","1,965",368,500,276,468,216,448,264,436,-,-,-,-,-,-,98,113,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,26,12,14,-,-,-,-,-,-,-,2,-,-,-,-,-,-,12,12,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,96,28,68,13,36,11,26,3,4,-,2,1,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,607,287,320,30,85,66,68,35,64,115,94,-,-,-,-,-,-,41,9,30 臺北市,1 一般
1079,康寧大學,D 日,2 二專,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1079,康寧大學,D 日,5 五專,"2,863",637,"2,226",120,444,145,407,141,469,116,477,105,401,-,-,-,-,10,28,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,121,42,79,18,33,10,36,9,8,2,2,3,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,N 修,C 二技,32,2,30,-,-,-,-,2,30,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1079,康寧大學,N 修,2 二專,273,61,212,32,102,28,108,-,-,-,-,-,-,-,-,-,-,1,2,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,311,220,91,41,7,43,18,48,10,79,54,-,-,-,-,-,-,9,2,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,B 四技,"2,601","1,571","1,030",425,280,316,217,376,213,390,287,-,-,-,-,-,-,64,33,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,84,26,58,-,-,-,-,17,24,7,34,-,-,-,-,-,-,2,-,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,"1,332",812,520,139,102,148,94,215,117,161,103,137,94,-,-,-,-,12,10,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,"1,462",908,554,314,157,163,131,223,132,168,119,-,-,-,-,-,-,40,15,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,680,415,265,-,-,-,-,220,126,186,135,-,-,-,-,-,-,9,4,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,2 二專,185,89,96,40,52,47,42,-,-,-,-,-,-,-,-,-,-,2,2,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,31,18,13,5,2,4,4,5,6,3,1,1,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,125,53,72,22,34,18,20,8,12,5,6,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,"1,212",655,557,89,85,176,96,139,150,202,186,-,-,-,-,-,-,49,40,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,50,26,24,-,-,-,-,7,13,15,10,-,-,-,-,-,-,4,1,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,"1,193",547,646,53,67,101,139,136,152,154,163,94,119,-,-,-,-,9,6,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,39,12,27,7,21,3,5,2,1,-,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,182,87,95,29,7,12,28,22,38,21,21,-,-,-,-,-,-,3,1,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,86,45,41,22,20,19,17,3,3,1,1,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,"2,174",985,"1,189",227,278,201,309,198,208,241,313,-,-,-,-,-,-,118,81,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,5 五專,155,71,84,-,-,-,-,34,34,27,34,6,9,-,-,-,-,4,7,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,133,74,59,38,36,29,19,6,4,1,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,"2,999","1,604","1,395",346,306,332,278,364,308,417,410,-,-,-,-,-,-,145,93,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,216,147,69,-,-,-,-,59,27,74,40,-,-,-,-,-,-,14,2,01 新北市,2 技職
1083,台北海洋科技大學,D 日,X 4+X,29,25,4,25,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,73,69,4,27,2,37,1,-,-,-,-,-,-,-,-,-,-,5,1,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,"1,058",645,413,82,63,127,58,149,98,128,92,122,87,-,-,-,-,37,15,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,158,74,84,38,20,10,18,9,30,13,13,-,-,-,-,-,-,4,3,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,105,33,72,-,-,-,-,23,45,9,27,-,-,-,-,-,-,1,-,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,85,78,7,37,3,37,4,-,-,-,-,-,-,-,-,-,-,4,-,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,73,38,35,26,19,12,16,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,588,292,296,113,84,53,70,68,67,58,75,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,86,62,24,24,15,25,8,13,1,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,326,197,129,40,47,49,29,43,20,51,28,-,-,-,-,-,-,14,5,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,318,198,120,61,45,44,26,40,22,45,24,-,-,-,-,-,-,8,3,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,291,165,126,-,-,-,-,89,56,75,69,-,-,-,-,-,-,1,1,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,142,74,68,43,36,30,31,-,-,-,-,-,-,-,-,-,-,1,1,15 花蓮縣,2 技職
1159,和春技術學院,D 日,M 碩士,15,14,1,-,-,8,1,4,-,2,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1159,和春技術學院,D 日,B 四技,378,262,116,46,6,40,17,58,34,73,31,-,-,-,-,-,-,45,28,12 高雄市,2 技職
1159,和春技術學院,D 日,C 二技,20,12,8,-,-,-,-,9,4,2,4,-,-,-,-,-,-,1,-,12 高雄市,2 技職
